Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_USD,sector,bif_indus
2019-11-15,VogoAutomotive,"Last Mile Transportation","Scooter sharing app",Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B",283000000,"Transportation and Logistics","Last Mile Transportation"
2019-11-19,FurtadosSchoolofMusic,Education,"Music Education",Tulangan,"IAN Fund and DSG Consumer Partners",Other,200000000,Education,Education
2019-11-25,Paytm,FinTech,"Mobile Wallet",Noida,"Vijay Shekhar Sharma","Funding Round",1000000000,Finance,FinTech
2019-10-04,Dunzo,"Customer Service","Delivery Service",Bangalore,Lightbox,"Series D",45000000,Services,"Customer Service"
2019-10-02,Udaan,B2B,"Business development",Bangalore,"Altimeter Capital, DST Global","Series D",585000000,Other,B2B
2019-09-05,FPLTechnologies,FinTech,"Financial Services",Pune,"Matrix Partners India, Sequoia India","Maiden Round",4500000,Finance,FinTech
2019-09-04,Cashflo,FinTech,"Invoice discounting platform and SME lending marketplace",Mumbai,"SAIF Partners","Series A",3300000,Finance,FinTech
2019-09-04,DigitalF5,"Advertising, Marketing","Digital marketing firm",Mumbai,"TIW Private Equity","Private Funding",6000000,"Advertisement and Marketing","Advertising, Marketing"
2019-09-04,3rdFlix,SaaS,"Education Technology",Hyderabad,"Exfinity Venture Partners","Series A",5000000,Technology,SaaS
2019-09-04,75F,IoT,"Building automation system",Burnsville,"Breakthrough Energy Ventures","Series A",18000000,Other,IoT
2019-09-04,MyelinFoundry,"Information Technology","Deep technology",Bangalore,"Endiya Partners","Seed Funding",1000000,Technology,"Information Technology"
2019-09-04,AtombergTechnology,"Consumer Technology","Consumer Electronics, Home Appliances",Mumbai,"A91 Partners","Series A",10000000,Technology,"Consumer Technology"
2019-09-04,GOQii,"Health and Wellness","Wearable Fitness Bands","Menlo Park","Bennett Coleman and Company Ltd (BCCL)","Series C",450000000,Healthcare,"Health and Wellness"
2019-09-03,VyaparApp,Accounting,"Mobile based Accounting Software",Bangalore,"India Quotient, Axilor Ventures","Series A",5000000,Finance,Accounting
2019-08-01,CarDekho,"E Commerce",Automotive,Gurugram,"SC GG India Mobility Holdings LLC","Series C",20000000,E-Commerce,"E Commerce"
2019-08-01,Progcap,Finance,"Supply Chain Management",Delhi,"Sequoia India","Series A",5000000,Finance,Finance
2019-08-01,MyPetrolPump,Retail,"Fuel Delivery",Bangalore,,"Seed Funding",1600000,E-Commerce,Retail
2019-08-01,AlteriaCapital,Finance,"VC Funds",Mumbai,"Azim Premji, Binny Bansal",Venture,140000000,Finance,Finance
2019-08-01,PineLabs,"Information Technology","Last mile retail transaction technology",Noida,"Pine Labs Pte Ltd","Corporate Round",38080000,Technology,"Information Technology"
2019-08-12,Meesho,"E Commerce","Social Commerce",Bangalore,Naspers,"Series D",125000000,E-Commerce,"E Commerce"
2019-08-13,Cars24,"E Commerce","Car Retail",Gurugram,"MS Dhoni","Series D",11000000,E-Commerce,"E Commerce"
2019-08-13,Uniphore,"Customer Service Platform","Conversational AI","Palo Alto","March Capital Partners","Series C",51000000,Technology,"Customer Service Platform"
2019-08-23,Zendrive,Automotive,"Road Safety Analytics","San Francisco","XL Innovate","Series B",37000000,Automotive,Automotive
2019-08-23,Lo!Foods,"Consumer Goods","Low carb food for Diabetics",Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)","Seed Funding",500000,Other,"Consumer Goods"
2019-08-23,Tala,FinTech,"Digital Lending Platform","Santa Monica","RPS Ventures","Series D",110000000,Finance,FinTech
2019-08-22,INDwealth,FinTech,"Wealth Management",Gurugram,"Tiger Global Management",Venture,15000000,Finance,FinTech
2019-08-21,HungerBox,"Food and Beverage","B2B Foodtech",Bangalore,"One97 Communications Ltd.","Series C",6590000,"Food and Beverages","Food and Beverage"
2019-08-23,AdmitKard,EdTech,"University Admissions",Noida,"Growth DNA","Seed Funding",1000000,Education,EdTech
2019-08-19,Grofers,"E Commerce","Grocery Delivery",Gurugram,"Softbank Vision Fund","Series F",70000000,E-Commerce,"E Commerce"
2019-08-27,RapidoBikeTaxi,Transportation,"Bike Taxi",Bangalore,"Westbridge Capital","Series B",3900000000,"Transportation and Logistics",Transportation
2019-07-02,RenewBuy,Finance,"Auto Insurance",Gurugram,"Lok Capital, IIFL Wealth","Series B",19000000,Finance,Finance
2019-07-02,Atlan,"Information Technology","Big Data",Singapore,"WaterBridge Ventures","Series A",2500000,Technology,"Information Technology"
2019-07-01,WizCounsel,Compliance,Consulting,Delhi,"Kapil Dev","Seed Funding",145000,Other,Compliance
2019-07-03,OlaCabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury","Series J",1000000,"Transportation and Logistics",Transport
2019-07-01,Uniphore,"Artificial Intelligence","Speech Recognition",Taramani,"March Capital Partners","Series C",38080000,Technology,"Artificial Intelligence"
2019-07-04,DaalchiniTechnologies,"Food and Beverage","Digital Vending Machine",Delhi,"Artha Venture","Seed Funding",500000,"Food and Beverages","Food and Beverage"
2019-07-10,BYJUs,EdTech,Education,Bangalore,"Qatar Investment Authority","Private Funding",150000000,Education,EdTech
2019-07-11,Moglix,"E Commerce","Industrial Tools and Equipments",Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management","Series D",60000000,E-Commerce,"E Commerce"
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,"Series B",16000000,Technology,Tech
2019-07-10,IndusOS,Tech,"Smartphone Operating System",Andheri,Ventureast,"Series B",5750000,Technology,Tech
2019-07-10,HealthAssure,"Health Care","Primary care medical network",Mumbai,"Blume Ventures","Series A",2500000,Healthcare,"Health Care"
2019-07-09,HouseofMsasaba,"Luxury Label","Clothes and Apparel",Mumbai,"Binny Bansal","Series A",1000000,Other,"Luxury Label"
2019-07-08,BoardInfinity,EdTech,"Full stack career platform",Chembur,"Multiple Angel Investors","Seed Funding",319605,Education,EdTech
2019-06-05,NoBroker,"E Commerce","Real Estate",Bangalore,"General Atlantic","Series C",51000000,E-Commerce,"E Commerce"
2019-06-04,Bira91,"Food and Beverage",Brewery,Delhi,"Anicut Capital",Debt,10000000,"Food and Beverages","Food and Beverage"
2019-06-03,FabHotels,"E Commerce",Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",Other,4889980,E-Commerce,"E Commerce"
2019-06-03,AvailFinance,Finance,FinTech,Bangalore,"Matrix Partners","Series A",9000000,Finance,Finance
2019-06-04,BharatPe,Finance,FinTech,Delhi,"Insight Partners","Series B",75000000,Finance,Finance
2019-06-04,Recykal,"Waste Management Service",Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh","Series A",26000000,Sustainability,"Waste Management Service"
2019-06-03,AgaraLabs,"Deep Tech","Artificial Intelligence",Bangalore,"Blume Ventures and RTP Global","Series A",2500000,Technology,"Deep Tech"
2019-06-06,Sistemabio,Agriculture,"Hybrid Reactor Biodigestor",Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Other,2739030,Agriculture,Agriculture
2019-06-06,ChakrInnovation,Energy,"Renewable Energy",Delhi,"IAN Fund","Series A",26000000,Sustainability,Energy
2019-06-06,Pratilipi,"Digital Media","E Books",Bangalore,"Qiming Venture Partners","Series B",15109500,Other,"Digital Media"
2019-06-10,BoloApp,"Digital Media","Video Platform",Bangalore,"Nexus Venture Partners","Seed Funding",430200,Other,"Digital Media"
2019-06-10,OkCredit,FinTech,"Financial Services",Haryana,"Tiger Global Management","Series A",15500000,Finance,FinTech
2019-06-06,Biz2Credit,FinTech,"Online Lending Platform","New York","WestBridge Capital","Series B",52000000,Finance,FinTech
2019-06-08,VogoAutomotivePvtLtd,Transportation,"Dockless Scooter Rental Company",Karnataka,"Alteria Capital",Debt,3584000,"Transportation and Logistics",Transportation
2019-06-04,Leegality,Services,"Digital Documentation",Mumbai/Bangalore,"Mumbai Angels","Series A",3400000,Services,Services
2019-05-06,SaahasZeroWaste,"Waste Management Service",Optimization,Bangalore,"C4D Partners",Venture,868600,Sustainability,"Waste Management Service"
2019-05-01,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel Wellington Sequoia Capital B Capital LightStreet Sands Capital and International Finance Corporation","Series D",150000000,"Transportation and Logistics",Transport
2019-05-02,Zenoti,Saas,"Beauty and Wellness Industry",Hyderabad,"Tiger Global Management","Series C",50000000,Technology,Saas
2019-05-28,AtherEnergy,Automobile,"Electric Vehicle",Bangalore,"Sachin Bansal","Series C",51000000,Automotive,Automobile
2019-05-28,FreshVnF,Agtech,"Fresh Agriculture Produces",Mumbai,"Equanimity Ventures","Seed Funding",140000000,Agriculture,Agtech
2019-05-30,GlowRoad,"E commerce",Retail,Bangalore,"Korea Investment Partners, Vertex Ventures","Series B",11500000,E-Commerce,"E commerce"
2019-05-31,Bira91,"Food and Beverage",Brewery,Delhi,"Sixth Sense Ventures","Series B",5600000,"Food and Beverages","Food and Beverage"
2019-04-16,Kuvera,Finance,"Wealth Management",Bangalore,"Eight Roads","Series A",45000000,Finance,Finance
2019-04-12,Medlife,"E commerce","Online Medicine",Bangalore,"Prasid Uno Family Trust","Private Funding",17000000,E-Commerce,"E commerce"
2019-04-10,Kabadiwala,"E commerce","Waste Management",Bhopal,"Unilever Beehive Capital Advisor ABCOM Investments Parekh Marine Transport","Private Funding",430665,E-Commerce,"E commerce"
2019-04-13,Tripoto,"Social Media",Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV","Series B",3591380,Technology,"Social Media"
2019-04-12,Azah,"Health and Wellness","Organic wellness",Gurugram,"Unnamed angel investors","Seed Funding",200000,Healthcare,"Health and Wellness"
2019-04-11,Setu,Fintech,Banking,Bangalore,"Lightspeed India Partners","Seed Funding",3500000,Finance,Fintech
2019-04-10,Toppr,Edtech,"E learning",Mumbai,Milestone,Debt,6320820,Education,Edtech
2019-04-10,Craftsvilla,"E commerce","Fashion and Apparel",Mumbai,"Supera Pte Ltd","Inhouse Funding",2443500,E-Commerce,"E commerce"
2019-04-10,Unacademy,Edtech,"E learning",Bangalore,"Kalyan Krishnamurthy","Seed Funding",307000,Education,Edtech
2019-04-11,CleverTap,SaaS,"Mobile analytics and marketing",Mumbai,"Sequoia India, Tiger Global Management, Accel Partners","Series B",26000000,Technology,SaaS
2019-04-19,MyHealthcare,"E commerce","Software Solutions","Bangalore and Gurugram","Sixth Sense Ventures","Series A",3000000,E-Commerce,"E commerce"
2019-04-19,KrazyBee,"E commerce","Lending Platform",Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000,E-Commerce,"E commerce"
2019-04-17,Shuttl,Transportation,"Bus Aggregation",Gurugram,"New Atlantic Ventures",Venture,5000000,"Transportation and Logistics",Transportation
2019-04-17,Increff,Technology,"Supply chain technology solutions",Bangalore,"021 Capita, Binny Bansal","Series A",3000000,Technology,Technology
2019-02-08,Zilingo,Ecommerce,"Fashion & Apparel",India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina","Series D",226000000,E-Commerce,Ecommerce
2019-02-13,NanoCleanGlobal,Nanotechnology,"Anti Pollution",Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments","Series A",600000,Technology,Nanotechnology
2018-02-14,OyoRooms,Hospitality,"Budget Rooms",Gurugram,"DiDi Chuxing",Equity,100000000,Hospitality,Hospitality
2019-01-03,CarDekho,Automobile,"Online Marketplace",Jaipur,"Sequoia India, Hillhouse Capital, Alphabets growth investment arm Capital G and Axis Bank","Series C",110000000,Automotive,Automobile
2019-01-04,VyomeTherapeuticsInc,"Health and Wellness","Specialty pharmaceutical",India/USA,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital","Series D",22000000,Healthcare,"Health and Wellness"
2019-01-04,SamunnatiFinancialIntermediation&ServicesPvtLtd,Finance,"Non banking financial company",Chennai,"MASSIF, a Dutch government fund",Debt,5000000,Finance,Finance
2018-12-04,Manch,"Social Media","Hyperlocal Content",Delhi,"Stellaris Venture Partners","Seed Funding",700000,Technology,"Social Media"
2018-12-01,UrbanClapTechnologiesPvtLtd,"Services Platform","Home services marketplace",Delhi,"Steadview Capital and Vy Capital.","Series D",50000000,Technology,"Services Platform"
2018-12-02,Guiddoo,"Travel Tech","Platform for travel agents",Mumbai,"Individual Investors","Series A",800000,Hospitality,"Travel Tech"
2018-12-02,CareerAnna,"Online Education","Video based certification, trainings",Gurugram,"Individual Investors","Series A",572000,Education,"Online Education"
2018-12-04,NagpurWholesale,"Online Marketplace",eCommerce,Nagpur,"Omphalos Ventures India LLP","Seed Funding",143000,E-Commerce,"Online Marketplace"
2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.","Seed Funding",2000000,Other,B2B
2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors","Series A",3500000,E-Commerce,"SaaS, Ecommerce"
2018-11-01,GoDesi,"Food and Beverage","Regional Flavours",Bangalore,"Lead Angels Network","Seed Funding",138995,"Food and Beverages","Food and Beverage"
2018-11-03,VeritasFinanceLtd,NBFC,"MSME Finance",Chennai,"Norwest Venture Partners, CDC Group, the UKs Development Finance Institution and P Surendra Pai","Series D",27799000,Finance,NBFC
2018-11-06,Meesho,Ecommerce,"Social Commerce",Bangalore,"Shunwei Capital, DST Partners and RPS Ventures","Series C",50000000,E-Commerce,Ecommerce
2018-11-08,MobilePremierLeague,Gaming,"Mobile e Sports",Bangalore,Undisclosed,"Series A",500000,"Online Gaming",Gaming
2018-11-08,A&RBonVivants,Food,"Meat Retail Chain",Jaipur,"RB Investments, Singapore",Equity,1000000,"Food and Beverages",Food
2018-11-12,Blackbuck,"Food Tech","POS For Online Ordering","New York, Bangalore","Tiger Global","Series A",1000000,"Food and Beverages","Food Tech"
2018-11-12,MilkBAsket,Food,"Micro delivery grocery service",Delhi,"Mayfield Fund","Series B",1300000,"Food and Beverages",Food
2018-11-13,DriveU,Transport,"On Demand Drivers",Bangalore,"Stevens Creek Ventures",Mezzanine,1000000,"Transportation and Logistics",Transport
2018-11-14,CleanseCar,Services,"Car Wash",Bangalore,"Venture Catalysts","Seed Funding",500000,Services,Services
2018-11-19,AutomationAnywhere,Automation,Robotics,California,"SoftBank Vision Fund","Series B",300000000,Automotive,Automation
2018-11-20,HealthifyMe,"Health and Wellness","Wellness Coach",Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.","Series B",6000000,Healthcare,"Health and Wellness"
2018-11-21,GeniusCorner,Education,"Personalized Learning",Noida,"Individual investors","Seed Funding",278000,Education,Education
2018-11-22,Aavishkaar-IntellecapGroup,Investment,"SME Funding",Mumbai,"Teachers Insurance and Annuity Association (TIAA)",Equity,31000000,Finance,Investment
2018-11-23,Signzy,"Financial Tech","Digital Onboarding Solution",Mumbai/Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India","Series A",3400000,Finance,"Financial Tech"
2018-11-24,Engineerai,Software,"AI Platform",India/USA,"Lakestar and Jungle Ventures, Softbanks DeepCore.","Series A",29500000,Technology,Software
2018-11-25,InCredFinance,Finance,"SME Lending",India,"Paragon Partners, Individual Investors","Private Funding",42000000,Finance,Finance
2018-11-25,Roposo,"Social Media","Video Sharing",Delhi,"Bertelsmann India Investments","Series B",1700000,Technology,"Social Media"
2018-10-02,OrigoCommoditiesIndiaPvtLtd,Logistics,"Supply Chain",Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund","Seed Funding",11000000,"Transportation and Logistics",Logistics
2018-10-04,GroverZampa,Food,Wine,Mumbai,"Ravi Viswanathan","Private Funding",8200000,"Food and Beverages",Food
2018-10-05,Droom,Automobile,"New and Used Cars Platform",Gurugram,ZigExN,"Series E",3000000,Automotive,Automobile
2018-10-11,Innov8,"Real Estate","Co Working",Delhi,"Credence Family Office","Series A",4000000,"Real Estate","Real Estate"
2018-10-12,Blackbuck,"Logistics Tech","Largest Trucking Platform",Bangalore,"Sequoia Capital India","Private Funding",14680000,"Transportation and Logistics","Logistics Tech"
2018-10-12,LetsTransport,"Logistics Tech","Book Trucks Online",Bangalore,"Fosun International","Series C",12000000,"Transportation and Logistics","Logistics Tech"
2018-09-01,Netmeds,"Consumer Internet","Online Pharmacy Chain",Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment","Private Funding",35000000,Healthcare,"Online Pharmacy Chain"
2018-09-03,Udaan,"B2B Platform","Logistics and Shipping",Bangalore,"DST Global and Lightspeed Venture Partners global fund.","Private Funding",225000000,Technology,"B2B Platform"
2018-09-03,Dailyhunt,"Consumer Internet","News and ebooks Mobile App",Bangalore,"Falcon Edge","Private Funding",6390000,Technology,"News and ebooks Mobile App"
2018-09-04,3HCare,Healthcare,"Healthcare Service Provider",Delhi,N/A,"Seed Funding",1000000,Healthcare,Healthcare
2018-09-05,Nykaa,"Consumer Internet","Online Marketplace For Multi brand Beauty Cosmetic and Wellness Products",Mumbai,Lighthouse,"Private Funding",157200000,E-Commerce,"Online Marketplace For Multi brand Beauty Cosmetic and Wellness Products"
2018-09-06,Dream11,"Consumer Internet","Online Gaming Platform",Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management","Private Funding",100000000,"Online Gaming","Online Gaming Platform"
2018-09-10,MamaEarth,Healthcare,"Online Marketplace For Mother and Babycare Products",Gurugram,"Stellaris Ventures & Others","Private Funding",4000000,Healthcare,Healthcare
2018-09-11,AutoGrid,Technology,"AI Based Energy Optimisation and Control Provider",Bangalore,"CLP Holdings Group, Innogy, rstead, and Tenaska","Private Funding",32000000,Technology,Technology
2018-09-11,Pharmeasy,"Consumer Internet","Online Marketplace For Pharmaceutical Products",Mumbai,"InnoVen Capital",Debt,5500000,E-Commerce,"Online Marketplace For Pharmaceutical Products"
2018-09-11,Upwards,"Fin Tech","Online Micro Lending Marketplace",Mumbai,"Shunwei Capital,Quotient, Mayfield & Others","Private Funding",5000000,Finance,"Fin Tech"
2018-09-12,Kissht,"Fin Tech","Online lending Platform",Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.","Private Funding",30000000,Finance,"Fin Tech"
2018-08-01,dishq,"Food Tech","Personalisation Technology Firm Focusing On The Food And Beverage Industry",Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners","Seed Funding",400000,"Food and Beverages","Food Tech"
2018-08-02,SamosaLabs,"Consumer Internet","Social Media and Chat Entertainment Platform",Hyderabad,"Xiaomi and Sequoia Capital India","Private Funding",7000000,Technology,"Social Media and Chat Entertainment Platform"
2018-08-03,ZiffyHomes,"Consumer Internet","Online Home Rental Marketplace",Gurugram,"Y Combinator","Private Funding",120000,E-Commerce,"Online Home Rental Marketplace"
2018-08-07,MyOmNamo,"Consumer Internet","Holy Platform Offering Customised Puja Packages To Individuals and Corporates",Mumbai,N/A,"Seed Funding",1000000,Technology,"Holy Platform Offering Customised Puja Packages To Individuals and Corporates"
2018-08-07,ShopX,"Consumer Internet","Assisted E commerce Platform",Bangalore,"Fung Strategic Holdings","Private Funding",35000000,E-Commerce,"Assisted E commerce Platform"
2018-08-07,MakeMyTrip,"Consumer Internet","Online Travel Aggregator",Gurugram,"MakeMyTrip Limited","Private Funding",10000000,Hospitality,"Online Travel Aggregator"
2018-08-08,Hanselio,"Consumer Internet","Real time Mobile App Management",Bangalore,"Vertex Ventures","Seed Funding",4000000,Technology,"Real time Mobile App Management"
2018-08-08,MetroBikes,"Consumer Internet","Online Bike Rental Marketplace",Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan","Private Funding",12200000,E-Commerce,"Online Bike Rental Marketplace"
2018-08-08,PhonePe,"Consumer Internet","UPI Payments App",Bangalore,Flipkart,"Private Funding",66000000,Finance,"UPI Payments App"
2018-08-09,quizizz,"Ed Tech","e learning Platform",Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others","Seed Funding",3000000,Education,"Ed Tech"
2018-08-09,HappyEMI,"Fin Tech","Consumer Financing Platform",Bangalore,"AJ Ventures and Jain International Trade Organisation (JITO)","Seed Funding",1000000,Finance,"Fin Tech"
2018-08-13,Inthree,"Consumer Internet","Rural E commerce Platform",Chennai,"Ventureast, Orios Venture Partners and the IAN Fund","Seed Funding",4000000,E-Commerce,"Rural E commerce Platform"
2018-08-13,ObserveAI,Technology,"AI Based Solutions Platform",Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator","Private Funding",8000000,Technology,Technology
2018-08-16,Enakshi,"Consumer Internet","AI Based Solutions Platform",Ahemdabad,N/A,"Seed Funding",114811,Technology,"AI Based Solutions Platform"
2018-08-17,EazyDiner,"Consumer Internet","Online Restaurant Table Reservation Platform",Gurugram,"Denlow Investment Trust and Beenext","Private Funding",5850000,"Food and Beverages","Online Restaurant Table Reservation Platform"
2018-08-20,Finzy,Finance,"Online Loan Matchmaking Platform",Bangalore,N/A,"Seed Funding",1000000,Finance,Finance
2018-08-20,RawPressery,"Consumer Internet","Online Organic Juice Delivery Service",Mumbai,"Alteria Capital",Debt,4800000,E-Commerce,"Online Organic Juice Delivery Service"
2018-08-22,PiVentures,Technology,"Applied Artificial Intelligence and IoT focusedPlatform",Bangalore,"CDC Group plc","Private Funding",6000000,Technology,Technology
2018-08-22,Revv,"Consumer Internet","Online Indian Car Rental Platform",Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment","Private Funding",14270000,Automotive,"Online Indian Car Rental Platform"
2018-08-26,ZestMoney,"Consumer Internet","Online Lending Platform",Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network","Private Funding",13400000,Technology,"Online Lending Platform"
2018-08-26,ShubhLoans,"Fin Tech","Customer Sourcing Platform",Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures","Private Funding",4200000,Finance,"Fin Tech"
2018-08-27,MyUpchar,Healthcare,"Local Language Health Content App",Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital","Private Funding",5000000,Healthcare,Healthcare
2018-08-28,Narvar,IT,"Post Purchase Customer Engagement Platform",Bangalore,"Accel (formerly known as Accel Partners)","Private Funding",3000000,Technology,IT
2018-08-30,TrueNorth,Finance,"Private Equity Firm",Mumbai,N/A,"Private Funding",600000000,Finance,Finance
2018-07-02,BiryaniByKilo,"Consumer Internet","Online Food Delivery",Gurugram,"Ajay Relan and Vinay Mittal","Seed Funding",1000000,"Food and Beverages","Online Food Delivery"
2018-07-04,Anchanto,IT,"E commerce Fulfilment Platform",Pune,"MDI Ventures & Telkom Indonesia","Private Funding",4000000,Technology,IT
2018-07-05,LoanTap,"Consumer Internet","Online Lending Platform For Salaried Professionals",Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital","Private Funding",6250000,Technology,"Online Lending Platform For Salaried Professionals"
